datetime,energy usage (kWh),outside temp (C),demand response
2024-01-01 00:00:00,21.08615684509277,25.09000587463379,25.0
2024-01-01 01:00:00,23.87814331054688,25.3147381659477,25.5
2024-01-01 02:00:00,22.85204887390137,25.41434647960047,25.5
2024-01-01 03:00:00,25.77009201049805,25.4555613148597,25.5
2024-01-01 04:00:00,30.23170280456543,25.81827502096853,26.0
2024-01-01 05:00:00,33.63681030273438,26.28645747707736,25.0
2024-01-01 06:00:00,31.88896751403809,26.61142666109147,25.0
2024-01-01 07:00:00,34.07303619384766,26.68513318031065,25.0
2024-01-01 08:00:00,39.09226608276367,26.69538983991069,25.0
2024-01-01 09:00:00,40.53750228881836,26.67792318713281,25.0
2024-01-01 10:00:00,38.02371215820312,26.8347080907514,25.0
2024-01-01 11:00:00,38.73936462402344,26.8734624462743,25.0
2024-01-01 12:00:00,39.41520309448242,26.8667551471341,25.0
2024-01-01 13:00:00,36.45863342285156,26.80283501840407,25.0
2024-01-01 14:00:00,32.96624755859375,26.533462924342,25.0
2024-01-01 15:00:00,30.07954025268555,26.38444834370767,25.0
2024-01-01 16:00:00,30.25033760070801,26.30677813868369,25.0
2024-01-01 17:00:00,28.2956714630127,26.04067333282963,25.0
2024-01-01 18:00:00,23.72119331359863,25.65281483434862,25.5
2024-01-01 19:00:00,22.05413246154785,25.42460904582854,25.5
2024-01-01 20:00:00,24.43764305114746,25.21898626512097,25.0
2024-01-01 21:00:00,22.73967552185059,25.14575827506281,25.0
2024-01-01 22:00:00,19.36507415771484,25.14706374752906,25.0
2024-01-01 23:00:00,19.66591835021973,24.93553772280293,25.0
2024-01-02 00:00:00,22.48750305175781,24.86872986824282,25.0
2024-01-02 01:00:00,23.69018363952637,24.93402879468856,25.0
2024-01-02 02:00:00,21.9628849029541,25.06956201984037,25.0
2024-01-02 03:00:00,25.60444831848145,25.14411921654978,25.0
2024-01-02 04:00:00,30.60931205749512,25.15216335173576,25.0
2024-01-02 05:00:00,33.90531539916992,25.36468670445104,25.5
2024-01-02 06:00:00,32.2094841003418,25.61170064249346,25.5
2024-01-02 07:00:00,34.6367301940918,25.87065076828003,26.0
2024-01-02 08:00:00,38.24129867553711,25.74629629811933,25.5
2024-01-02 09:00:00,41.28505325317383,25.92542388362269,26.0
2024-01-02 10:00:00,38.95293045043945,26.07323089722664,25.0
2024-01-02 11:00:00,37.992431640625,26.05373291815481,25.0
2024-01-02 12:00:00,38.59923553466797,25.83571237133395,26.0
2024-01-02 13:00:00,40.06135559082031,25.86991579301896,26.0
2024-01-02 14:00:00,36.58134841918945,25.87447138755552,26.0
2024-01-02 15:00:00,34.42705917358398,25.73638400723857,25.5
2024-01-02 16:00:00,34.86022186279297,25.48457477938744,25.5
2024-01-02 17:00:00,29.39078903198242,25.41255414101385,25.5
2024-01-02 18:00:00,26.9149055480957,25.39891935163929,25.5
